WE Potential	WE Current	Index
0.6840259999999999	0.7533566666666665	0
0.681994	0.7404996666666664	1
0.680041	0.7127623333333334	2
0.6780880000000001	0.7001576666666666	3
0.676057	0.6878077666666668	4
0.6741040000000001	0.6758551666666666	5
0.672151	0.6634578	6
0.67012	0.6515446666666665	7
0.6681659999999999	0.6405936666666665	8
0.666136	0.6313268666666665	9
0.664183	0.6206296	10
0.66223	0.6109341	11
0.660198	0.6009838666666666	12
0.658245	0.5918923666666666	13
0.656214	0.5830232333333332	14
0.654261	0.5744877666666666	15
0.652308	0.5654755	16
0.650276	0.55721	17
0.648323	0.5486586666666668	18
0.646292	0.5401395333333332	19
0.644339	0.5324940666666667	20
0.642385	0.5240698333333332	21
0.640354	0.5169652	22
0.638401	0.5090015	23
0.636448	0.5020716	24
0.634417	0.4944425333333332	25
0.632463	0.4872899133333332	26
0.630432	0.4801849233333332	27
0.628479	0.4731911899999999	28
0.626526	0.4664992333333332	29
0.624495	0.459649172	30
0.622541	0.45256011	31
0.62051	0.4465517466666665	32
0.618557	0.44046417	33
0.616604	0.434758	34
0.614573	0.4278755	35
0.612619	0.42150175333333323	36
0.610588	0.41525529999999994	37
0.608635	0.40959663333333324	38
0.606682	0.4032867	39
0.60465	0.3977077	40
0.602697	0.3914134666666666	41
0.600666	0.38613653333333325	42
0.598713	0.37973053333333323	43
0.59676	0.3748034666666666	44
0.594728	0.3687475	45
0.592775	0.3638679	46
0.590822	0.3585592666666666	47
0.588791	0.3528530333333333	48
0.586838	0.34808446666666676	49
0.584807	0.3422511333333333	50
0.582854	0.3366246333333334	51
0.580901	0.3316970333333333	52
0.57887	0.3265314333333333	53
0.576917	0.3230345666666667	54
0.574885	0.3168832666666668	55
0.572932	0.3123536666666667	56
0.570979	0.3074898333333333	57
0.568948	0.3030390666666667	58
0.566995	0.2985727	59
0.564963	0.29334373333333325	60
0.56301	0.2886225333333334	61
0.561057	0.2843787	62
0.559026	0.2795313	63
0.557073	0.275176	64
0.555041	0.2708048666666666	65
0.553088	0.2659252333333333	66
0.551135	0.2622534666666666	67
0.549104	0.2574693666666667	68
0.547151	0.2536224666666666	69
