WE Potential	WE Current	Index
0.6840259999999999	6.665735666666668	0
0.681994	6.586111	1
0.680041	6.496355666666664	2
0.6780880000000001	6.424381666666664	3
0.676057	6.359379333333332	4
0.6741040000000001	6.295784666666668	5
0.672151	6.229186333333335	6
0.67012	6.193715	7
0.6681659999999999	6.087669333333332	8
0.666136	6.058470333333332	9
0.664183	5.997514666666668	10
0.66223	5.94406	11
0.660198	5.886521333333335	12
0.658245	5.835577666666665	13
0.656214	5.786049666666665	14
0.654261	5.733422600000001	15
0.652308	5.6851046	16
0.650276	5.6401543	17
0.648323	5.584348	18
0.646292	5.542085533333332	19
0.644339	5.499790040000001	20
0.642385	5.4504682	21
0.640354	5.4090790333333345	22
0.638401	5.363986266666668	23
0.636448	5.3223716	24
0.634417	5.276456	25
0.632463	5.232855566666668	26
0.630432	5.196151833333332	27
0.628479	5.153478666666666	28
0.626526	5.113311666666668	29
0.624495	5.077803666666668	30
0.622541	5.034856666666668	31
0.62051	5.0006336666666655	32
0.618557	4.959595666666665	33
0.616604	4.928632333333332	34
0.614573	4.884108666666668	35
0.612619	4.850188333333332	36
0.610588	4.812804666666666	37
0.608635	4.781337333333332	38
0.606682	4.739690333333332	39
0.60465	4.708125333333332	40
0.602697	4.668928666666665	41
0.600666	4.639205333333332	42
0.598713	4.601503	43
0.59676	4.569270333333333	44
0.594728	4.531838333333333	45
0.592775	4.503149	46
0.590822	4.465810666666667	47
0.588791	4.433419333333333	48
0.586838	4.406191	49
0.584807	4.369173	50
0.582854	4.339417333333333	51
0.580901	4.30642	52
0.57887	4.273518666666666	53
0.576917	4.252427	54
0.574885	4.214595666666666	55
0.572932	4.182524333333332	56
0.570979	4.149159	57
0.568948	4.123664333333333	58
0.566995	4.096646333333333	59
0.564963	4.061626666666665	60
0.56301	4.034	61
0.561057	4.004676333333332	62
0.559026	3.9718523333333327	63
0.557073	3.94747	64
0.555041	3.915364	65
0.553088	3.8869443333333344	66
0.551135	3.85959	67
0.549104	3.8306783333333345	68
0.547151	3.804927	69
0.545197	3.774441	70
0.543166	3.745689	71
0.541213	3.718318333333333	72
0.539182	3.689916	73
0.537229	3.670985666666666	74
0.535275	3.6449636666666656	75
0.533244	3.6090573333333342	76
0.531291	3.580785	77
0.52926	3.559673333333334	78
0.527307	3.5345633333333324	79
0.525353	3.5047893333333326	80
0.523322	3.473938333333333	81
0.521369	3.445933666666666	82
0.519338	3.4281953333333326	83
0.517385	3.395374666666666	84
0.515431	3.3717690000000005	85
0.5134	3.345528	86
0.511447	3.323211333333332	87
0.509494	3.294789666666666	88
0.507463	3.2693273333333326	89
0.505509	3.242481666666666	90
0.503478	3.224395	91
0.501525	3.1883283333333323	92
0.499572	3.164887333333334	93
0.497541	3.1425213333333324	94
0.495588	3.114529	95
0.493557	3.0958366666666675	96
0.491604	3.065382333333333	97
0.489651	3.041383	98
0.487619	3.0178246666666677	99
0.485666	2.987547666666666	100
0.483635	2.964863333333334	101
0.481682	2.935838333333333	102
0.479729	2.912587	103
0.477697	2.8907483333333324	104
0.475744	2.858944	105
0.473713	2.843651	106
0.47176	2.815598	107
0.469807	2.7870816666666673	108
0.467775	2.762271	109
0.465822	2.735492	110
0.463869	2.714682666666666	111
0.461838	2.687108	112
0.459885	2.662898	113
0.457853	2.6403763333333328	114
0.4559	2.615881	115
0.453947	2.589576	116
0.451916	2.5611253333333326	117
0.44996300000000006	2.5383340000000003	118
0.447931	2.508435333333333	119
0.445978	2.48383	120
0.44402500000000006	2.4545533333333327	121
0.441994	2.4350493333333327	122
0.44004100000000007	2.407237333333333	123
0.4380089999999999	2.3793223333333327	124
0.436056	2.3482506666666674	125
0.43410300000000007	2.324025666666666	126
0.432072	2.2990723333333327	127
0.430119	2.2762006666666665	128
0.42808699999999994	2.24074	129
0.426134	2.217166	130
0.424181	2.184786666666666	131
0.42215	2.1627266666666674	132
0.420197	2.135723333333333	133
0.418243	2.10217	134
0.416212	2.07893	135
0.414259	2.05229	136
0.412229	2.0211233333333336	137
0.410275	1.99073	138
0.408322	1.9559066666666665	139
0.406291	1.9248333333333327	140
0.404338	1.8977933333333328	141
0.402307	1.8612866666666663	142
0.400353	1.8320033333333328	143
0.3984	1.800633333333333	144
0.396369	1.767283333333333	145
0.39441599999999993	1.7323766666666662	146
0.392385	1.696886666666667	147
0.390431	1.667003333333333	148
0.38847799999999993	1.626776666666666	149
0.386447	1.5871666666666664	150
0.384494	1.551736666666667	151
0.382541	1.512923333333333	152
0.380509	1.472296666666667	153
0.378556	1.4306999999999999	154
0.376525	1.39888	155
0.374572	1.3508433333333332	156
0.372619	1.3118266666666667	157
0.370587	1.26225	158
0.368634	1.2140366666666664	159
0.366603	1.163956666666667	160
0.36465	1.1198166666666665	161
0.362697	1.0640266666666665	162
0.360665	1.0133833333333333	163
0.358712	0.9552733333333336	164
0.356681	0.9113433333333332	165
0.354728	0.84476	166
0.352775	0.7893666666666665	167
0.350743	0.7211599999999999	168
0.34879	0.6559933333333332	169
0.346759	0.59121	170
0.344806	0.51714	171
0.342853	0.4445166666666667	172
0.340821	0.37566	173
0.338868	0.2868266666666667	174
0.336915	0.2181	175
0.334884	0.1298026666666666	176
0.332931	0.04402166666666663	177
0.3309	0.018071666666666705	178
0.328947	-0.1463876666666666	179
0.326994	-0.222653	180
0.324963	-0.32623766666666676	181
0.323009	-0.4408210000000001	182
0.320978	-0.5644646666666668	183
0.319025	-0.6835960333333335	184
0.317072	-0.7271085666666665	185
0.315041	-0.9229303333333336	186
0.313087	-1.0387523333333333	187
